frame,timestamp_s,speed_kmh,throttle,brake,steer_input,steering_angle_deg,gear,reverse,hand_brake,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,compass_rad,latitude,longitude,altitude_m,steering_rate_degps,jerk_x_mps3,jerk_y_mps3,jerk_z_mps3,jerk_magnitude_mps3
109600,846.3160117976367,0.0,0.0,0.0,0.0,0.0,1,0,0,0.001719081774353981,0.004023344721645117,9.809999465942383,0.0,0.0,0.0,5.313417434692383,nan,nan,nan,nan,nan,nan,nan,nan
109605,846.3609340973198,0.0,0.0,0.0,0.0,0.0,1,0,0,-265355.3125,-828250.3125,386.85357666015625,0.0,0.0,0.0,5.313417434692383,-0.0006131729454314062,0.00018363338245277875,0.000748863210901618,0.0,-5906984.194732691,-18437397.959727492,8393.238544199236,19360531.40408699
109612,846.4171457961202,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0017190815415233374,0.0040233442559838295,9.809998512268066,0.0,0.0,0.0,5.313417434692383,-0.0006131729454314062,0.00018363338245277875,0.000748863210901618,0.0,4720642.141801725,14734482.931488093,-6707.56419383834,15472216.85734419
109618,846.4649439975619,0.0,0.0,0.0,0.0,0.0,1,0,0,0.030463263392448425,0.08131354302167892,9.809962272644043,0.0,0.0,0.0,5.313417434692383,-0.0006131729454314062,0.00018363338245277875,0.000748863210901618,0.0,0.601365343964787,1.617010607812555,-0.0007581796580273051,1.7252142352579314
109624,846.513931594789,0.0,0.0,0.0,0.0,0.0,1,0,0,0.04695836082100868,0.07000371813774109,9.809964179992676,0.0,0.0,0.0,5.313417434692383,-0.0006131729454314062,0.00018363338245277875,0.000748863210901618,0.0,0.33671987119703656,-0.230871190344523,3.893533752983268e-05,0.4082667996616996
109630,846.5629880949855,0.0,0.0,0.0,0.0,0.0,1,0,0,-0.05576929450035095,-0.1505570262670517,9.810070037841797,0.0,0.0,0.0,5.313417434692383,-0.0006131729454314062,0.00018363338245277875,0.000748863210901618,0.0,-2.0940681644627213,-4.496055436517314,0.0021578760958723938,4.959802478131806
109636,846.6109399944544,0.0,0.0,0.0,0.0,0.0,1,0,0,0.05920743942260742,0.1586037576198578,9.809926986694336,0.0,0.0,0.0,5.313417434692383,-0.0006131729454314062,0.00018363338245277875,0.000748863210901618,0.0,2.3977513966371946,6.447310478022435,-0.0029832217085314704,6.878737751921152
109643,846.6677717976272,0.0,0.0,0.0,0.0,0.0,1,0,0,0.04695836082100868,0.07000371813774109,9.809964179992676,0.0,0.0,0.0,5.313417434692383,-0.0006131729454314062,0.00018363338245277875,0.000748863210901618,0.0,-0.2155321126156955,-1.5589869498365558,0.0006544451568206997,1.573815373424639
109649,846.7133338972926,0.0,0.0,0.0,0.0,0.0,1,0,0,0.12518782913684845,0.11336447298526764,9.809931755065918,0.0,0.0,0.0,5.313417434692383,-0.0006131729454314062,0.00018363338245277875,0.000748863210901618,0.0,1.7169855842978565,0.9516847372258316,-0.0007116644534807007,1.9630954745558216
109656,846.7664883956313,0.0,0.0,0.0,0.0,0.0,1,0,0,-0.08875948190689087,-0.12793739140033722,9.810070037841797,0.0,0.0,0.0,5.313417434692383,-0.0006131729454314062,0.00018363338245277875,0.000748863210901618,0.0,-4.025008564288794,-4.5396320523624265,0.0026015253685167214,6.067038806647662
